2021/04/28 16:06:11 [error] 8068#6568: *3 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/config?action=gethomepagebyconfig&_=1619597169086 HTTP/1.1", upstream: "http://127.0.0.1:8210/api/config?action=gethomepagebyconfig&_=1619597169086", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2021/04/28 16:50:43 [error] 8068#6568: *10 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "POST /api/sign HTTP/1.1", upstream: "http://127.0.0.1:8210/api/sign", host: "127.0.0.1", referrer: "http://127.0.0.1/sign.html"
2021/04/28 16:50:45 [error] 8068#6568: *8 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "POST /api/sign HTTP/1.1", upstream: "http://127.0.0.1:8210/api/sign", host: "127.0.0.1", referrer: "http://127.0.0.1/sign.html"
2021/04/28 16:50:51 [error] 8068#6568: *8 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "POST /api/sign HTTP/1.1", upstream: "http://127.0.0.1:8210/api/sign", host: "127.0.0.1", referrer: "http://127.0.0.1/sign.html"
2021/04/28 16:51:45 [error] 8068#6568: *8 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/config?action=gethomepagebyconfig&_=1619599903099 HTTP/1.1", upstream: "http://127.0.0.1:8210/api/config?action=gethomepagebyconfig&_=1619599903099", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2021/04/28 17:27:42 [error] 8068#6568: *17 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/config?action=gethomepagebyconfig&_=1619602060888 HTTP/1.1", upstream: "http://127.0.0.1:8210/api/config?action=gethomepagebyconfig&_=1619602060888", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2021/04/28 17:27:53 [error] 8068#6568: *17 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "POST /api/sign HTTP/1.1", upstream: "http://127.0.0.1:8210/api/sign", host: "127.0.0.1", referrer: "http://127.0.0.1/sign.html"
2021/04/28 17:27:55 [error] 8068#6568: *18 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "POST /api/sign HTTP/1.1", upstream: "http://127.0.0.1:8210/api/sign", host: "127.0.0.1", referrer: "http://127.0.0.1/sign.html"
2021/04/28 17:43:55 [error] 8068#6568: *22 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/config?action=gethomepagebyconfig&_=1619603033452 HTTP/1.1", upstream: "http://127.0.0.1:8210/api/config?action=gethomepagebyconfig&_=1619603033452", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2021/04/28 18:19:25 [error] 8068#6568: *26 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "POST /api/sign HTTP/1.1", upstream: "http://127.0.0.1:8210/api/sign", host: "127.0.0.1", referrer: "http://127.0.0.1/sign.html"
2021/04/28 18:19:27 [error] 8068#6568: *29 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "POST /api/sign HTTP/1.1", upstream: "http://127.0.0.1:8210/api/sign", host: "127.0.0.1", referrer: "http://127.0.0.1/sign.html"
2021/04/28 18:20:55 [error] 8068#6568: *32 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/config?action=gethomepagebyconfig&_=1619605253760 HTTP/1.1", upstream: "http://127.0.0.1:8210/api/config?action=gethomepagebyconfig&_=1619605253760", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2021/04/28 18:29:35 [error] 8068#6568: *48 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/config?action=gethomepagebyconfig&_=1619605773145 HTTP/1.1", upstream: "http://127.0.0.1:8210/api/config?action=gethomepagebyconfig&_=1619605773145", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2021/04/28 18:29:50 [error] 8068#6568: *48 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "POST /api/sign HTTP/1.1", upstream: "http://127.0.0.1:8210/api/sign", host: "127.0.0.1", referrer: "http://127.0.0.1/sign.html"
2021/04/28 18:29:51 [error] 8068#6568: *49 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "POST /api/sign HTTP/1.1", upstream: "http://127.0.0.1:8210/api/sign", host: "127.0.0.1", referrer: "http://127.0.0.1/sign.html"
2021/04/28 18:30:39 [error] 8068#6568: *49 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "POST /api/sign HTTP/1.1", upstream: "http://127.0.0.1:8210/api/sign", host: "127.0.0.1", referrer: "http://127.0.0.1/sign.html"
2021/04/28 18:30:45 [error] 8068#6568: *49 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/config?action=gethomepagebyconfig&_=1619605843822 HTTP/1.1", upstream: "http://127.0.0.1:8210/api/config?action=gethomepagebyconfig&_=1619605843822", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2021/04/28 18:34:19 [error] 8068#6568: *55 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/config?action=gethomepagebyconfig&_=1619606057365 HTTP/1.1", upstream: "http://127.0.0.1:8210/api/config?action=gethomepagebyconfig&_=1619606057365", host: "127.0.0.1", referrer: "http://127.0.0.1/"
